440.508636
0.003, 0.102, 69.00
0.128, 0.122, 66.00
0.270, 0.273, 64.00
0.720, 0.122, 64.00
1.033, 0.134, 64.00
1.472, 0.160, 69.00
1.637, 0.096, 71.00
1.756, 0.165, 74.00
1.927, 0.104, 76.00
2.232, 0.273, 74.00
2.528, 0.110, 76.00
2.801, 0.302, 74.00
3.109, 0.148, 73.00
3.262, 0.389, 74.00
3.680, 0.148, 76.00
3.834, 0.102, 78.00
4.008, 0.316, 74.00
4.331, 0.238, 74.00
4.595, 0.136, 78.00
4.737, 0.104, 81.00
4.885, 0.145, 78.00
5.187, 0.432, 69.00
5.625, 0.116, 76.00
5.761, 0.154, 69.00
6.060, 0.244, 71.00
6.391, 0.235, 69.00
6.632, 0.157, 69.00
6.795, 0.165, 76.00
6.966, 0.116, 78.00
7.088, 0.151, 79.00
7.245, 0.116, 76.00
7.384, 0.110, 78.00
7.578, 0.258, 74.00
7.854, 0.099, 73.00
7.959, 0.395, 74.00
8.426, 0.142, 76.00
8.574, 0.093, 78.00
8.748, 0.299, 74.00
9.053, 0.102, 73.00
9.160, 0.168, 74.00
9.334, 0.093, 78.00
9.433, 0.148, 81.00
9.596, 0.160, 78.00
9.761, 0.447, 79.00
10.214, 0.157, 78.00
10.376, 0.119, 79.00
10.501, 0.148, 83.00
10.655, 0.104, 69.00
10.800, 0.113, 79.00
10.940, 0.110, 78.00
11.212, 0.160, 76.00
11.381, 0.136, 79.00
11.523, 0.107, 78.00
11.680, 0.099, 76.00
11.784, 0.206, 74.00
